customer_id,event_date,event_type,event_value
100019,2023-07-26,login,31.05
100019,2023-08-07,search,23.29
100019,2025-02-14,login,6.47
100020,2023-10-05,share,77.44
100020,2022-05-26,watch,77.68
100020,2024-06-23,search,1.35
100020,2024-09-30,search,62.19
100020,2025-02-01,search,21.3
100020,2022-07-08,search,98.86
100020,2025-03-19,purchase,2.9
100020,2025-10-04,search,17.26
100020,2022-07-07,search,81.79
100020,2025-10-01,watch,70.18
100020,2023-03-02,purchase,3.62
100020,2024-03-08,login,56.53
100020,2023-06-14,login,61.42
100020,2022-11-15,search,39.12
100020,2025-06-02,search,36.64
100020,2024-03-19,watch,6.29
100020,2024-12-29,login,54.38
100021,2022-03-17,watch,1.76
100021,2022-11-24,purchase,33.0
100021,2023-02-15,purchase,97.24
100021,2022-04-02,login,97.0
100021,2025-10-04,share,55.52
100021,2024-02-09,purchase,83.69
100021,2023-05-30,purchase,54.53
100021,2025-05-09,purchase,14.72
100021,2022-10-14,login,39.64
100021,2024-05-07,purchase,80.19
100021,2023-04-16,purchase,32.17
100021,2022-03-08,purchase,7.91
100021,2024-02-22,watch,17.08
100021,2024-09-07,search,76.61
100022,2024-12-09,search,53.83
100022,2023-11-13,login,56.44
100022,2022-02-11,search,24.69
100022,2023-04-30,watch,5.02
100022,2024-08-02,watch,34.63
100022,2025-03-26,login,96.6
100022,2024-07-13,search,84.48
100022,2025-03-11,share,53.49
100022,2022-01-22,share,93.32
100022,2024-11-19,login,97.09
100022,2024-09-16,login,82.48
100022,2025-01-30,search,88.23
100023,2024-05-11,search,84.87
100023,2023-04-13,watch,50.61
100023,2024-11-24,share,81.36
100023,2023-08-01,login,57.7
100023,2025-07-06,watch,99.51
100023,2025-10-12,share,59.19
100023,2023-06-23,purchase,54.48
100023,2024-01-27,login,20.14
100023,2024-04-14,watch,49.54
100023,2025-07-10,share,78.35
100023,2022-07-02,purchase,15.97
100023,2022-07-18,login,33.49
100023,2024-05-10,login,48.59
100023,2022-09-04,login,76.48
100023,2024-07-20,watch,86.45
100023,2022-07-29,search,82.72
100023,2024-11-23,watch,56.9
100023,2023-07-11,purchase,76.47
100024,2025-03-07,login,53.91
100024,2025-03-20,search,97.17
100024,2023-11-27,purchase,9.16
100024,2024-04-08,login,63.53
100024,2025-03-11,share,55.65
100024,2024-12-15,watch,93.45
100024,2024-11-25,watch,39.79
100024,2022-10-09,login,19.81
100024,2024-09-15,purchase,5.68
100024,2024-12-05,search,81.54
100025,2023-11-08,watch,6.68
100025,2022-07-20,login,26.03
100025,2025-02-04,share,12.91
100025,2024-01-17,share,14.1
100025,2024-01-27,purchase,48.3
100025,2024-10-22,login,37.48
100025,2022-03-18,purchase,46.12
100025,2023-05-29,watch,28.01
100026,2023-11-05,purchase,55.04
100026,2025-04-16,purchase,27.79
100026,2024-09-27,purchase,44.7
100026,2025-07-09,login,74.66
100026,2025-07-05,purchase,47.2
100026,2022-12-16,watch,78.24
100026,2024-08-11,share,60.02
100026,2023-09-17,watch,7.26
100026,2024-09-23,purchase,88.68
100026,2022-04-26,search,90.61
100026,2022-04-19,login,58.76
100026,2022-10-31,watch,15.2
100026,2024-07-15,watch,54.87
100026,2024-08-15,login,17.72
100026,2022-02-14,share,79.05
100026,2023-10-31,search,32.21
100026,2022-08-05,watch,70.76
100026,2023-01-08,share,9.63
100027,2023-03-09,search,4.22
100027,2023-05-09,watch,46.16
100027,2025-03-31,share,17.63
100027,2024-07-18,share,20.26
100027,2023-11-15,search,42.41
100027,2025-07-18,share,13.07
100027,2025-07-27,share,63.36
100027,2024-02-05,watch,54.6
100027,2025-08-05,search,25.47
100027,2022-06-15,login,18.36
100027,2023-12-08,share,94.36
100027,2022-01-26,search,64.61
100027,2024-10-02,login,59.86
100028,2025-07-17,watch,19.94
100028,2022-03-19,share,65.93
100028,2025-08-11,share,25.38
100028,2025-02-25,search,22.46
100028,2023-05-24,watch,48.18
100028,2024-12-12,share,8.05
100028,2022-11-08,login,47.49
100028,2024-02-12,purchase,8.55
100028,2025-08-30,watch,52.57
100028,2022-09-05,share,26.14
100028,2024-11-03,search,31.43
100028,2025-04-23,share,48.13
100028,2024-05-26,watch,87.03
100028,2022-11-29,search,17.26
100028,2025-06-22,watch,83.86
100029,2022-02-11,share,19.5
100029,2022-05-31,purchase,41.89
100029,2023-11-13,login,51.84
100029,2022-06-25,watch,53.29
100029,2025-02-26,watch,70.71
100030,2024-06-28,watch,83.92
100030,2024-07-01,search,56.03
100030,2022-01-20,login,71.53
100030,2023-12-25,watch,10.05
100030,2024-06-19,purchase,44.92
100030,2022-01-19,purchase,36.87
100030,2023-09-10,login,89.4
100030,2024-10-01,search,74.72
100030,2024-03-02,login,64.03
100030,2024-11-08,login,46.62
100030,2023-02-28,watch,85.79
100030,2022-01-02,share,51.64
100030,2025-06-20,login,90.63
100030,2023-10-04,share,71.74
100030,2024-06-27,share,98.54
100030,2025-09-03,search,96.2
100030,2023-04-28,share,7.93
100030,2023-05-30,watch,92.9
100031,2023-12-12,login,41.7
100031,2025-03-02,search,92.84
100031,2024-02-07,purchase,46.8
100031,2022-07-22,share,40.85
100031,2023-05-31,search,3.3
100031,2025-06-29,search,71.14
100031,2024-05-10,login,49.37
100031,2024-04-28,login,2.23
100031,2023-05-30,purchase,29.09
100031,2023-02-07,watch,96.9
100031,2024-06-19,login,93.33
100031,2022-01-16,watch,28.47
100031,2022-09-11,purchase,74.14
100031,2025-09-09,watch,1.9
100032,2023-11-25,login,91.88
100032,2023-04-13,login,69.0
100032,2023-06-07,share,80.96
100032,2024-04-12,login,31.22
100032,2023-11-03,login,24.24
100032,2025-01-01,login,91.11
100033,2025-10-02,share,97.3
100033,2025-08-01,share,77.48
100033,2022-10-08,purchase,35.04
100033,2022-02-20,watch,97.7
100033,2024-05-31,share,15.47
100033,2023-07-15,search,70.25
100033,2022-08-25,share,50.07
100033,2024-02-17,purchase,86.52
100033,2025-01-11,search,2.58
100033,2022-09-02,watch,97.38
100033,2024-01-19,share,81.53
100033,2022-12-25,purchase,10.01
100033,2024-01-31,login,66.26
100033,2023-02-17,share,99.32
100033,2023-07-28,watch,40.34
100033,2022-08-19,share,14.94
100033,2025-02-22,login,41.02
100034,2022-07-19,share,86.68
100034,2023-06-14,share,91.49
100034,2023-07-05,watch,6.79
100034,2022-01-04,purchase,4.07
100034,2025-10-07,login,66.97
100034,2023-06-20,watch,52.61
100034,2023-12-30,share,5.16
100034,2023-08-27,share,83.97
100034,2025-03-08,watch,39.0
100034,2024-01-11,watch,48.02
100034,2023-11-17,login,25.58
100035,2025-08-26,search,47.32
100035,2022-01-05,share,12.75
100035,2022-03-06,login,36.33
100035,2023-03-30,search,98.18
100035,2024-05-05,purchase,73.67
100035,2025-09-13,login,65.15
100035,2022-05-17,search,21.41
100035,2025-01-25,watch,77.34
100035,2022-08-12,login,83.82
100035,2024-03-03,search,3.96
100036,2023-01-11,share,88.33
100036,2023-04-02,share,30.65
100036,2025-07-21,login,35.33
100036,2022-07-12,share,44.54
100036,2022-07-23,search,32.89
100036,2022-08-31,search,49.45
100036,2023-07-09,login,97.0
100036,2023-12-23,login,89.14
100036,2022-11-07,login,19.46
100036,2022-02-22,login,75.41
100037,2023-09-06,watch,31.37
100037,2025-07-30,share,71.94
100037,2023-12-31,login,75.89
100037,2023-02-04,search,12.09
100037,2024-09-19,share,31.59
100037,2023-07-01,login,33.24
100037,2025-09-13,purchase,63.16
100037,2024-10-05,watch,98.73
100037,2025-10-26,login,77.53
100037,2022-06-30,login,1.33
100037,2022-06-30,login,18.41
100037,2024-07-04,search,34.85
100037,2024-08-20,search,25.85
100037,2024-09-07,watch,22.17
100037,2022-05-24,login,58.08
100037,2023-03-23,share,2.68
100038,2023-07-11,search,6.49
100038,2022-04-12,search,17.56
100038,2023-12-08,share,44.37
100038,2022-02-27,search,59.07
100038,2022-10-26,watch,21.3
100038,2023-08-31,search,45.63
100038,2022-12-25,login,80.32
100038,2022-12-17,watch,63.34
100038,2022-08-19,purchase,15.5
100038,2023-06-06,login,2.5
100038,2024-07-15,purchase,56.57
100038,2023-03-29,watch,73.43
100038,2025-07-13,watch,97.02
100038,2025-04-11,share,20.46
100038,2023-09-25,purchase,73.24
100038,2025-07-25,share,66.58
100038,2022-04-20,search,67.25
100038,2025-05-08,share,48.74
100039,2022-09-07,purchase,89.93
100039,2024-11-24,search,82.99
100039,2025-04-16,watch,39.98
100039,2024-09-06,share,19.53
100039,2023-05-07,search,48.26
100039,2022-10-22,watch,48.61
100039,2023-10-23,search,30.19
100039,2024-07-09,watch,62.93
100039,2022-11-01,share,87.13
100039,2025-06-06,share,6.0
100040,2024-07-29,login,94.38
100040,2022-05-10,purchase,72.88
100040,2025-08-02,login,21.0
100040,2023-09-04,share,23.34
100040,2022-03-04,purchase,34.57
100040,2024-09-10,share,34.18
100040,2022-01-16,search,7.27
100040,2025-06-17,watch,70.66
100041,2023-05-30,watch,84.39
100041,2024-02-26,share,50.9
100041,2023-04-23,purchase,25.46
100041,2023-02-16,search,15.47
100041,2023-12-20,share,58.19
100041,2022-02-02,watch,64.88
100041,2024-05-17,search,90.18
100041,2023-12-18,login,41.31
100041,2023-08-01,login,67.32
100041,2024-05-02,watch,89.78
100041,2022-09-14,watch,86.33
100041,2023-06-08,search,88.68
100041,2025-03-25,share,66.03
100041,2023-07-27,search,23.85
100041,2022-10-31,purchase,32.3
100041,2024-01-26,watch,60.02
100041,2022-09-26,watch,77.26
100041,2022-08-02,watch,24.98
100041,2022-09-18,purchase,25.21
100042,2025-01-17,share,28.97
100042,2024-10-20,search,20.91
100042,2022-06-01,share,53.35
100042,2022-02-01,search,49.52
100042,2022-10-13,watch,1.65
100042,2023-12-19,watch,69.28
100042,2024-11-28,purchase,30.72
100042,2022-07-01,share,89.85
100042,2023-11-01,purchase,24.88
100042,2025-05-08,purchase,15.22
100042,2024-05-06,watch,99.3
100042,2022-07-26,login,12.38
100042,2024-07-16,share,54.36
100043,2022-04-04,watch,33.56
100043,2022-08-05,watch,89.22
100043,2025-06-24,watch,65.32
100043,2024-12-08,search,41.95
100043,2022-02-12,login,15.97
100043,2025-04-04,search,54.46
100043,2024-08-23,watch,73.22
100043,2024-06-23,search,31.02
100043,2022-02-14,share,86.54
100043,2024-01-05,watch,63.2
100043,2024-10-26,login,17.88
100043,2022-04-29,purchase,28.77
100043,2024-06-17,purchase,51.42
100043,2023-10-12,login,41.34
100043,2023-12-22,purchase,90.59
100043,2023-12-10,purchase,32.64
100044,2024-02-16,search,26.61
100044,2023-03-16,search,1.04
100044,2022-03-10,watch,76.48
100044,2022-05-14,share,81.16
100044,2022-01-08,share,14.02
100044,2024-02-24,login,38.58
100044,2025-08-16,share,1.9
100044,2022-03-03,share,85.86
100044,2023-12-18,share,26.78
100044,2024-04-22,login,6.1
100044,2023-08-10,search,74.72
100044,2025-04-15,watch,99.61
100044,2023-04-02,search,10.92
100045,2024-01-29,watch,23.8
100045,2025-01-04,watch,67.01
100045,2024-03-06,share,27.16
100045,2025-03-13,watch,26.03
100045,2024-11-04,login,20.68
100045,2023-08-09,search,7.3
100045,2025-06-05,share,21.73
100045,2024-12-12,search,41.19
100045,2024-09-26,watch,75.04
100045,2022-01-16,login,32.55
100045,2023-11-19,search,95.63
100045,2024-08-03,search,73.45
100045,2023-03-20,search,71.98
100045,2024-08-23,share,75.88
100046,2025-07-06,share,6.67
100046,2022-06-13,login,33.43
100046,2023-04-06,share,12.35
100046,2025-03-30,share,72.46
100046,2025-09-16,login,10.35
100046,2022-07-18,watch,80.38
100046,2023-04-10,watch,52.07
100046,2023-03-22,purchase,36.41
100047,2023-03-25,login,15.41
100047,2024-03-24,share,87.13
100047,2023-07-05,login,44.4
100047,2025-04-28,search,41.98
100047,2025-03-10,login,80.71
100047,2024-07-07,search,80.82
100047,2024-08-24,login,23.49
100047,2025-06-07,watch,48.05
100047,2024-07-21,login,24.59
100047,2023-11-10,login,52.93
100047,2025-10-09,watch,42.31
100047,2022-02-17,watch,41.14
100047,2022-12-17,purchase,93.66
100047,2024-10-30,purchase,96.22
100047,2024-02-11,watch,25.69
100048,2022-02-09,watch,28.25
100048,2023-12-10,share,86.91
100048,2022-06-07,share,3.28
100048,2024-09-12,purchase,97.51
100048,2023-10-26,watch,60.98
100048,2022-02-08,purchase,28.74
100048,2024-10-31,watch,72.39
100048,2025-01-09,purchase,44.77
100048,2022-04-12,purchase,64.77
100049,2024-06-02,login,56.4
100049,2022-09-12,search,3.66
100049,2025-02-24,purchase,32.17
100049,2024-03-11,purchase,35.89
100049,2024-07-26,share,54.39
100049,2024-08-03,search,90.02
100049,2023-02-15,search,16.94
100050,2024-04-16,login,19.29
100050,2023-04-12,search,18.26
100050,2022-12-02,search,68.73
100050,2024-04-05,search,97.84
100050,2023-01-13,login,30.2
100050,2024-02-17,search,9.32
100050,2023-12-21,purchase,1.57
100050,2023-12-17,share,71.37
100050,2022-11-29,share,15.8
100051,2024-08-26,search,68.75
100051,2025-08-17,share,89.97
100051,2024-07-01,watch,37.04
100051,2023-01-26,search,10.53
100051,2023-07-20,login,94.76
100051,2024-10-07,search,96.33
100051,2024-11-21,watch,48.79
100051,2025-07-04,login,43.47
100051,2023-12-31,watch,63.86
100051,2025-04-11,watch,24.77
100051,2023-10-01,login,57.15
100051,2022-11-15,watch,89.74
100051,2022-09-17,watch,49.83
100051,2022-05-26,login,42.78
100051,2023-11-20,login,62.98
100051,2024-12-07,share,20.89
100051,2025-06-22,share,90.21
100052,2025-10-31,search,88.91
100052,2023-02-18,login,68.93
100052,2025-08-14,purchase,79.95
100052,2024-11-16,share,31.32
100052,2025-09-02,purchase,48.07
100052,2022-12-23,login,59.51
100052,2025-04-03,watch,9.88
100052,2024-06-15,watch,19.27
100052,2022-07-07,watch,33.84
100052,2025-05-16,share,81.44
100052,2023-01-28,search,30.12
100052,2024-08-06,purchase,76.79
100052,2025-08-21,share,84.1
100053,2025-01-28,purchase,4.16
100053,2022-05-02,watch,31.51
100053,2023-06-26,purchase,87.32
100053,2024-04-19,share,6.84
100053,2023-05-04,purchase,89.07
100053,2024-02-17,search,18.99
100054,2024-07-28,purchase,13.27
100054,2022-07-24,watch,64.59
100054,2024-04-20,watch,7.74
100054,2024-01-12,search,9.69
100054,2022-01-21,search,4.55
100054,2022-06-03,purchase,20.48
100054,2023-08-13,login,27.83
100054,2024-05-04,login,4.44
100054,2022-10-05,watch,3.34
100054,2023-02-03,search,31.7
100054,2024-11-15,purchase,4.31
100054,2022-07-07,login,43.64
100054,2025-08-10,login,32.98
100054,2023-08-14,login,61.75
100054,2024-07-30,purchase,32.8
100054,2024-11-28,share,56.27
100054,2022-11-15,search,20.11
100055,2024-04-12,watch,49.29
100055,2024-04-13,share,65.48
100055,2023-04-26,login,82.0
100055,2022-12-23,purchase,59.8
100055,2025-09-04,purchase,15.93
100055,2024-10-20,login,61.17
100055,2023-04-18,login,31.75
100055,2025-05-30,watch,43.41
100055,2025-09-14,share,28.07
100055,2024-12-03,share,92.56
100055,2023-11-20,watch,40.51
100055,2024-04-29,watch,16.67
100055,2024-10-17,login,74.68
100055,2024-02-23,login,83.74
100055,2024-07-11,search,59.78
100055,2025-10-04,share,73.87
100055,2024-09-16,watch,87.93
100055,2025-10-14,watch,75.46
100055,2023-02-04,purchase,54.48
100056,2023-06-03,purchase,72.83
100056,2023-01-31,share,13.31
100056,2025-04-10,watch,41.25
100056,2025-01-11,purchase,85.47
100056,2025-09-03,watch,50.33
100056,2024-10-28,login,80.77
100056,2022-11-25,watch,54.84
100056,2023-05-16,share,13.07
100056,2024-06-06,purchase,29.56
100056,2023-07-11,search,22.3
100056,2025-06-10,purchase,97.1
100056,2023-01-06,search,46.68
100056,2023-02-04,purchase,31.37
100056,2023-04-27,watch,58.24
100056,2022-07-23,purchase,25.92
100056,2024-03-11,share,26.62
100056,2025-10-11,share,14.82
100056,2023-09-02,search,72.19
100056,2024-07-02,share,4.77
100057,2022-03-27,share,13.5
100057,2024-10-03,search,67.05
100057,2023-03-16,login,57.89
100057,2022-11-23,purchase,95.65
100057,2022-07-14,share,44.3
100057,2025-06-02,search,88.96
100057,2025-02-05,purchase,43.78
100058,2025-07-01,search,48.27
100058,2022-08-13,share,7.26
100058,2022-06-02,login,75.4
100058,2024-01-18,watch,51.05
100058,2023-12-20,login,17.3
100058,2023-04-30,watch,32.31
100058,2023-03-23,search,48.74
100058,2024-12-03,share,51.86
100058,2024-12-13,login,44.04
100058,2022-05-10,search,54.7
100058,2025-10-28,share,47.96
100058,2022-02-04,search,1.05
100058,2022-06-19,purchase,89.69
100058,2024-07-08,search,77.35
100058,2025-08-10,search,48.35
100059,2023-07-01,login,70.22
100059,2022-09-02,watch,65.95
100059,2022-09-22,search,25.17
100059,2022-06-29,search,74.1
100059,2024-02-02,login,69.47
100059,2022-05-29,watch,54.8
100059,2024-12-18,share,84.0
100059,2024-11-18,login,18.3
100059,2022-02-04,purchase,50.71
100059,2024-02-22,watch,52.06
100059,2022-03-21,purchase,95.61
100059,2024-04-11,purchase,69.08
100059,2022-06-12,watch,70.09
100060,2022-09-15,login,49.23
100060,2022-12-27,search,99.53
100060,2022-09-03,login,32.3
100060,2024-07-08,purchase,6.0
100060,2024-03-11,search,66.43
100060,2022-07-21,purchase,93.53
100060,2024-10-23,watch,21.23
100060,2025-10-05,login,94.48
100060,2022-04-17,purchase,26.83
100060,2025-03-23,search,92.76
100060,2023-10-13,watch,50.3
100060,2022-08-12,purchase,87.39
100060,2023-02-22,watch,51.27
100060,2024-11-06,search,2.68
100060,2025-03-10,search,87.68
100060,2024-08-29,login,13.46
100060,2024-06-28,login,96.92
100060,2025-08-03,watch,34.55
100061,2025-07-17,search,85.88
100061,2023-04-02,purchase,10.52
100061,2022-12-31,search,98.02
100061,2022-10-19,watch,34.08
100061,2022-12-19,purchase,75.02
100061,2023-02-14,purchase,60.01
100061,2024-05-25,share,2.93
100061,2023-07-22,purchase,78.65
100061,2024-12-14,search,38.23
100061,2022-07-13,watch,30.0
100061,2025-01-18,purchase,99.87
100061,2024-12-09,share,15.38
100061,2024-05-08,share,33.1
100061,2025-05-18,login,63.29
100061,2022-03-29,share,95.01
100061,2023-09-18,login,90.2
100061,2022-02-06,login,28.54
100061,2025-10-15,search,24.81
100061,2022-05-07,watch,50.3
100062,2022-05-13,purchase,32.94
100062,2022-12-04,share,75.5
100062,2024-12-11,login,51.74
100062,2025-06-20,watch,73.01
100062,2023-09-02,share,25.51
100062,2023-01-06,watch,67.59
100062,2024-11-28,share,35.61
100062,2024-05-10,purchase,95.81
100063,2024-05-12,login,62.73
100063,2024-08-25,search,47.86
100063,2024-05-07,search,74.52
100063,2024-09-26,search,26.41
100063,2022-11-22,login,92.5
100063,2025-08-19,watch,61.09
100063,2022-10-14,purchase,54.31
100063,2023-08-25,purchase,56.8
100063,2025-04-06,login,30.76
100063,2023-08-23,search,80.58
100063,2022-06-09,search,45.68
100063,2022-07-25,search,58.9
100063,2024-03-09,watch,94.35
100063,2024-09-22,watch,10.13
100063,2024-07-22,watch,9.12
100063,2024-07-01,watch,26.63
100064,2025-02-14,watch,32.15
100064,2025-09-01,share,97.77
100064,2025-01-04,login,88.21
100064,2022-07-17,watch,32.34
100064,2022-02-07,login,82.94
100064,2024-11-19,share,50.1
100064,2025-05-21,purchase,74.2
100064,2022-04-10,watch,13.66
100065,2022-10-22,search,90.37
100065,2025-02-01,search,61.77
100065,2024-12-18,purchase,32.54
100065,2023-06-12,share,22.54
100065,2024-09-05,purchase,73.65
100065,2023-09-11,login,9.68
100065,2022-12-19,share,85.65
100065,2022-09-25,watch,79.33
100065,2023-02-28,purchase,48.72
100065,2023-04-22,login,87.78
100065,2022-09-28,purchase,66.53
100066,2022-06-04,search,97.16
100066,2023-06-26,login,11.81
100066,2024-07-21,login,76.44
100066,2025-10-07,purchase,68.92
100066,2023-04-25,login,62.31
100067,2022-08-12,watch,65.44
100067,2022-02-09,purchase,65.42
100067,2024-09-22,watch,16.01
100067,2023-08-10,purchase,92.79
100067,2024-07-28,login,50.1
100067,2025-05-23,watch,78.15
100067,2022-11-13,purchase,66.33
100068,2025-09-24,search,70.15
100068,2023-07-05,watch,34.89
100068,2025-06-30,watch,25.24
100068,2023-06-14,watch,84.46
100068,2024-01-27,login,48.22
100068,2022-08-16,share,3.55
100068,2023-12-15,watch,2.15
100068,2023-11-24,watch,24.25
100069,2024-04-01,login,41.42
100069,2024-05-15,share,27.25
100069,2024-01-25,share,88.02
100069,2022-11-11,purchase,47.98
100069,2022-08-29,watch,61.28
100069,2024-07-19,share,85.12
100069,2022-06-24,purchase,92.83
100069,2025-08-06,share,41.11
100069,2025-04-01,purchase,84.02
100069,2025-05-15,share,49.12
100069,2024-07-03,login,87.47
100069,2024-11-20,watch,22.94
100069,2022-08-28,share,5.75
100069,2023-12-01,login,12.76
100069,2025-04-27,share,94.39
100069,2025-01-23,login,16.69
100069,2024-09-14,share,77.34
100069,2024-03-02,share,77.53
100070,2022-05-04,purchase,34.12
100070,2024-12-24,purchase,48.23
100070,2025-05-25,login,76.03
100070,2024-11-10,search,93.46
100070,2024-09-04,search,33.67
100070,2024-10-29,search,41.74
100070,2024-10-07,search,51.85
100070,2024-06-13,login,88.62
100070,2023-08-21,purchase,85.64
