customer_id,signup_date,age,gender,country,plan_type,monthly_fee
100088,2024-12-22,68,Female,Australia,Standard,19.99
100089,2025-03-08,66,Female,USA,Premium,39.99
100090,2023-08-16,26,Male,Canada,Standard,19.99
100091,2023-01-27,62,Female,USA,Basic,9.99
100092,2023-02-23,39,Female,Canada,Premium,39.99
100093,2022-10-16,49,Female,Australia,Standard,19.99
100094,2023-01-14,22,Female,India,Premium,39.99
100095,2022-08-19,40,Female,India,Standard,19.99
100096,2024-10-14,22,Female,USA,Basic,9.99
100097,2022-02-10,59,Male,Canada,Standard,19.99
100098,2024-11-17,49,Male,India,Standard,19.99
100099,2022-05-15,27,Male,Canada,Basic,9.99
100100,2022-07-20,56,Male,Australia,Standard,19.99
100101,2024-02-19,32,Female,USA,Standard,19.99
100102,2024-07-18,24,Female,Canada,Standard,19.99
100103,2024-11-22,46,Female,USA,Basic,9.99
100104,2024-12-07,64,Male,Canada,Standard,19.99
100105,2023-05-18,20,Female,Canada,Basic,9.99
100106,2023-02-11,36,Male,Australia,Standard,19.99
100107,2024-03-15,27,Male,USA,Basic,9.99
100108,2022-04-09,45,Male,UK,Basic,9.99
100109,2023-11-15,46,Female,Canada,Basic,9.99
100110,2023-12-27,32,Male,Canada,Basic,9.99
100111,2024-08-18,52,Female,India,Standard,19.99
100112,2023-09-05,23,Male,USA,Premium,39.99
100113,2023-10-05,29,Female,UK,Standard,19.99
100114,2024-10-25,64,Female,Australia,Standard,19.99
100115,2023-05-18,55,Female,UK,Premium,39.99
100116,2024-02-06,30,Female,Australia,Premium,39.99
100117,2023-02-02,46,Female,UK,Premium,39.99
100118,2024-05-20,36,Female,UK,Basic,9.99
100119,2024-03-05,20,Female,USA,Standard,19.99
100120,2023-01-28,25,Male,India,Premium,39.99
100121,2022-07-26,25,Male,UK,Premium,39.99
100122,2024-11-04,37,Male,Canada,Standard,19.99
100123,2024-06-10,64,Female,Canada,Basic,9.99
100124,2024-05-13,21,Female,Canada,Premium,39.99
100125,2024-01-13,68,Female,India,Standard,19.99
100126,2023-07-18,38,Female,UK,Basic,9.99
100127,2024-10-17,20,Male,Australia,Basic,9.99
100128,2022-04-06,62,Female,Australia,Standard,19.99
100129,2023-04-30,25,Other,USA,Basic,9.99
100130,2022-08-19,40,Male,India,Basic,9.99
100131,2024-01-19,33,Female,UK,Premium,39.99
100132,2025-04-09,30,Male,Canada,Basic,9.99
100133,2023-06-25,20,Female,India,Standard,19.99
100134,2024-11-25,65,Male,India,Premium,39.99
100135,2023-06-09,26,Female,UK,Standard,19.99
100136,2025-03-29,31,Female,USA,Basic,9.99
100137,2025-01-14,30,Male,USA,Standard,19.99
100138,2023-08-01,24,Male,USA,Basic,9.99
100139,2023-11-13,32,Female,Canada,Basic,9.99
100140,2023-07-11,24,Other,Canada,Standard,19.99
100141,2024-10-09,55,Female,UK,Premium,39.99
100142,2023-10-08,51,Female,USA,Standard,19.99
100143,2024-03-06,58,Male,UK,Basic,9.99
100144,2024-11-17,39,Female,USA,Standard,19.99
100145,2022-07-09,41,Female,India,Basic,9.99
100146,2023-09-25,66,Female,Australia,Standard,19.99
100147,2023-09-20,54,Male,Australia,Basic,9.99
100148,2024-08-30,61,Female,USA,Premium,39.99
100149,2023-12-11,18,Female,UK,Basic,9.99
100150,2023-10-11,27,Female,Canada,Basic,9.99
100151,2022-11-14,60,Female,USA,Standard,19.99
100152,2023-11-15,33,Female,USA,Basic,9.99
100153,2023-10-26,63,Female,Canada,Standard,19.99
100154,2025-02-10,25,Male,USA,Premium,39.99
100155,2023-03-18,66,Female,India,Basic,9.99
100156,2023-07-18,42,Male,Canada,Basic,9.99
100157,2025-02-10,67,Male,India,Premium,39.99
100158,2024-08-09,29,Male,Australia,Standard,19.99
100159,2025-01-09,42,Female,Canada,Premium,39.99
100160,2023-11-30,34,Male,Canada,Basic,9.99
100161,2022-04-23,43,Male,UK,Basic,9.99
100162,2022-01-02,63,Female,UK,Basic,9.99
100163,2023-10-04,65,Male,Canada,Basic,9.99
100164,2022-08-08,31,Male,Australia,Standard,19.99
100165,2024-05-04,58,Female,USA,Basic,9.99
100166,2023-01-20,53,Female,UK,Standard,19.99
100167,2025-02-27,40,Male,Australia,Basic,9.99
100168,2024-12-12,60,Female,Australia,Premium,39.99
100169,2023-12-31,23,Female,UK,Basic,9.99
100170,2022-09-04,64,Male,USA,Basic,9.99
100171,2024-04-15,22,Female,UK,Standard,19.99
100172,2022-07-22,60,Other,Australia,Basic,9.99
100173,2022-05-03,42,Male,India,Standard,19.99
100174,2023-02-05,35,Male,UK,Standard,19.99
100175,2024-02-06,30,Female,Australia,Premium,39.99
100176,2022-10-21,60,Female,UK,Standard,19.99
100177,2022-10-07,31,Male,Australia,Standard,19.99
100178,2024-06-02,45,Female,USA,Premium,39.99
100179,2022-07-17,35,Female,Australia,Premium,39.99
100180,2024-09-08,45,Female,Canada,Standard,19.99
100181,2024-01-22,68,Female,India,Standard,19.99
100182,2022-05-24,44,Male,Australia,Standard,19.99
100183,2023-09-01,49,Female,UK,Basic,9.99
100184,2025-02-21,64,Female,UK,Premium,39.99
100185,2022-07-06,26,Male,Australia,Standard,19.99
100186,2023-04-09,57,Female,Canada,Basic,9.99
100187,2023-10-22,49,Female,Australia,Basic,9.99
100188,2024-02-03,37,Male,USA,Basic,9.99
100189,2024-08-12,45,Female,Canada,Basic,9.99
100190,2023-02-07,50,Male,Australia,Basic,9.99
100191,2022-05-27,21,Male,India,Standard,19.99
100192,2025-03-17,63,Male,Canada,Basic,9.99
100193,2024-05-13,51,Male,Australia,Standard,19.99
100194,2023-05-04,65,Female,India,Basic,9.99
100195,2024-07-17,20,Male,Australia,Basic,9.99
100196,2023-07-05,43,Female,USA,Standard,19.99
100197,2022-12-04,25,Male,UK,Premium,39.99
100198,2024-05-21,23,Female,Australia,Standard,19.99
100199,2023-10-03,33,Female,Canada,Standard,19.99
100200,2023-04-18,41,Female,Australia,Standard,19.99
100201,2022-05-31,65,Male,Australia,Basic,9.99
100202,2022-09-20,56,Male,Australia,Basic,9.99
100203,2022-05-24,47,Male,Australia,Basic,9.99
100204,2022-12-12,62,Female,Canada,Standard,19.99
100205,2023-09-16,30,Female,Canada,Standard,19.99
100206,2024-10-13,22,Female,Australia,Standard,19.99
100207,2024-05-30,42,Female,UK,Basic,9.99
100208,2022-01-02,37,Male,Australia,Standard,19.99
100209,2024-06-15,35,Female,Canada,Basic,9.99
100210,2022-09-11,64,Female,USA,Basic,9.99
100211,2023-03-29,35,Female,Australia,Basic,9.99
100212,2024-11-26,19,Female,Australia,Standard,19.99
100213,2025-03-29,27,Male,Australia,Basic,9.99
100214,2024-10-11,62,Male,Australia,Standard,19.99
100215,2022-01-09,67,Female,India,Premium,39.99
100216,2025-01-27,64,Female,Australia,Basic,9.99
100217,2024-03-26,29,Male,Canada,Standard,19.99
100218,2022-07-27,64,Female,Canada,Basic,9.99
100219,2025-02-28,30,Male,India,Basic,9.99
100220,2023-02-08,67,Female,Australia,Basic,9.99
100221,2022-06-01,64,Other,UK,Premium,39.99
100222,2022-02-23,28,Female,Australia,Standard,19.99
100223,2025-02-17,36,Female,Canada,Standard,19.99
100224,2023-09-20,52,Male,USA,Basic,9.99
100225,2023-08-10,56,Male,USA,Premium,39.99
100226,2022-04-14,43,Female,UK,Premium,39.99
100227,2022-09-11,63,Male,Australia,Standard,19.99
100228,2025-02-09,31,Male,India,Premium,39.99
100229,2023-05-25,62,Female,Australia,Basic,9.99
100230,2022-04-09,61,Male,UK,Standard,19.99
100231,2022-06-02,41,Female,UK,Standard,19.99
100232,2024-07-02,58,Female,UK,Standard,19.99
100233,2024-05-27,18,Female,USA,Premium,39.99
100234,2022-12-04,68,Female,Australia,Basic,9.99
100235,2024-04-01,60,Female,Australia,Basic,9.99
100236,2025-04-01,39,Female,India,Basic,9.99
100237,2024-08-14,40,Female,UK,Premium,39.99
100238,2022-06-10,36,Male,UK,Premium,39.99
100239,2024-03-11,35,Female,Canada,Standard,19.99
100240,2023-02-02,29,Female,Canada,Standard,19.99
100241,2024-03-26,45,Male,USA,Standard,19.99
100242,2025-03-04,45,Male,Australia,Standard,19.99
100243,2023-02-05,50,Female,India,Basic,9.99
100244,2023-10-02,36,Male,India,Standard,19.99
100245,2024-11-22,45,Female,UK,Standard,19.99
100246,2023-11-19,69,Other,India,Standard,19.99
100247,2023-04-05,66,Male,UK,Basic,9.99
100248,2024-08-12,54,Female,Australia,Standard,19.99
100249,2023-04-15,43,Male,India,Premium,39.99
100250,2024-11-11,52,Female,UK,Standard,19.99
100251,2024-01-20,51,Male,Australia,Standard,19.99
100252,2022-02-07,52,Female,Australia,Standard,19.99
100253,2022-08-18,57,Male,UK,Standard,19.99
100254,2023-07-17,33,Male,UK,Basic,9.99
100255,2023-03-14,55,Male,USA,Standard,19.99
100256,2022-01-27,30,Male,Australia,Standard,19.99
100257,2022-08-14,40,Female,UK,Standard,19.99
100258,2024-03-08,39,Male,Australia,Standard,19.99
100259,2022-10-11,33,Female,India,Standard,19.99
100260,2024-05-28,45,Female,Canada,Standard,19.99
100261,2024-08-17,65,Female,Canada,Standard,19.99
100262,2023-03-29,52,Female,UK,Premium,39.99
100263,2024-10-16,62,Female,UK,Standard,19.99
100264,2024-03-26,63,Male,Australia,Premium,39.99
100265,2023-10-21,25,Male,UK,Standard,19.99
100266,2023-07-01,61,Female,Australia,Basic,9.99
100267,2024-12-08,39,Female,UK,Premium,39.99
100268,2022-01-17,38,Other,Australia,Standard,19.99
100269,2025-04-10,43,Male,UK,Premium,39.99
100270,2022-06-07,57,Male,USA,Standard,19.99
100271,2023-04-22,38,Male,Australia,Basic,9.99
100272,2024-12-05,42,Female,USA,Basic,9.99
100273,2023-06-02,58,Female,USA,Standard,19.99
100274,2022-04-09,18,Male,USA,Premium,39.99
100275,2024-11-26,23,Female,USA,Standard,19.99
100276,2022-10-07,40,Female,India,Basic,9.99
100277,2023-05-12,68,Female,Canada,Standard,19.99
100278,2022-10-29,40,Male,India,Standard,19.99
100279,2022-06-30,60,Female,UK,Basic,9.99
100280,2023-08-30,60,Female,UK,Basic,9.99
100281,2025-01-27,40,Female,Canada,Basic,9.99
100282,2023-12-01,49,Female,Canada,Basic,9.99
100283,2024-09-19,47,Male,Canada,Basic,9.99
100284,2025-02-13,30,Male,USA,Basic,9.99
100285,2022-07-10,60,Female,India,Premium,39.99
100286,2022-09-10,35,Male,UK,Basic,9.99
100287,2024-09-07,40,Female,India,Basic,9.99
100288,2024-07-16,32,Female,India,Basic,9.99
100289,2025-03-30,50,Female,India,Standard,19.99
100290,2022-05-08,38,Male,Canada,Standard,19.99
100291,2022-01-18,56,Male,Canada,Basic,9.99
100292,2023-07-20,40,Female,UK,Standard,19.99
100293,2023-07-24,44,Male,UK,Standard,19.99
100294,2023-11-17,62,Female,UK,Basic,9.99
100295,2023-09-18,61,Female,India,Standard,19.99
100296,2024-05-03,35,Male,Canada,Standard,19.99
100297,2024-08-19,41,Female,USA,Basic,9.99
100298,2022-06-04,68,Male,India,Standard,19.99
100299,2023-05-05,64,Male,Australia,Premium,39.99
100300,2024-02-24,57,Other,India,Standard,19.99
100301,2025-02-01,68,Other,Canada,Basic,9.99
100302,2022-09-03,59,Female,Australia,Premium,39.99
100303,2025-04-14,24,Female,India,Standard,19.99
100304,2024-11-28,67,Female,Canada,Basic,9.99
100305,2024-01-29,65,Male,Canada,Standard,19.99
100306,2023-06-22,37,Male,USA,Standard,19.99
100307,2024-07-09,44,Female,India,Premium,39.99
100308,2023-02-12,23,Male,Canada,Basic,9.99
100309,2023-06-09,44,Female,UK,Basic,9.99
100310,2024-04-07,26,Female,Canada,Standard,19.99
100311,2024-06-21,62,Female,USA,Premium,39.99
100312,2022-02-05,48,Female,Canada,Basic,9.99
100313,2023-11-16,38,Male,India,Premium,39.99
100314,2022-01-20,43,Male,India,Standard,19.99
100315,2022-11-17,57,Female,Australia,Standard,19.99
100316,2023-05-27,65,Female,India,Standard,19.99
100317,2023-02-04,62,Female,Australia,Basic,9.99
100318,2023-10-16,30,Female,UK,Standard,19.99
100319,2024-08-29,66,Male,USA,Premium,39.99
100320,2023-04-16,40,Female,UK,Basic,9.99
100321,2025-03-12,37,Female,Australia,Standard,19.99
100322,2025-01-20,54,Male,Canada,Basic,9.99
100323,2024-04-13,45,Male,Canada,Basic,9.99
100324,2023-12-28,34,Female,UK,Standard,19.99
100325,2024-05-03,45,Female,Canada,Basic,9.99
100326,2022-02-20,58,Male,Australia,Standard,19.99
100327,2023-07-29,19,Female,USA,Standard,19.99
100328,2025-02-22,42,Male,India,Premium,39.99
100329,2022-05-30,67,Male,Australia,Basic,9.99
100330,2022-11-10,58,Female,Australia,Basic,9.99
100331,2023-07-24,23,Female,India,Basic,9.99
100332,2022-11-01,28,Female,India,Premium,39.99
100333,2023-11-13,55,Male,USA,Standard,19.99
100334,2024-04-17,23,Male,USA,Basic,9.99
100335,2024-12-13,62,Male,USA,Premium,39.99
100336,2024-09-29,28,Male,Canada,Premium,39.99
100337,2023-03-20,31,Male,Australia,Premium,39.99
100338,2023-09-05,19,Male,India,Basic,9.99
100339,2024-09-19,57,Male,Australia,Basic,9.99
100340,2022-09-21,20,Male,Australia,Standard,19.99
100341,2024-12-12,52,Female,USA,Standard,19.99
100342,2024-09-30,50,Male,USA,Basic,9.99
100343,2022-01-05,41,Male,Australia,Basic,9.99
100344,2025-01-31,36,Female,USA,Premium,39.99
100345,2024-02-13,35,Male,Canada,Basic,9.99
100346,2024-05-26,66,Female,India,Standard,19.99
100347,2024-09-18,69,Male,Australia,Standard,19.99
100348,2024-06-02,41,Male,India,Standard,19.99
100349,2022-02-16,62,Male,Canada,Standard,19.99
100350,2024-05-16,52,Male,USA,Standard,19.99
100351,2024-04-02,18,Female,UK,Basic,9.99
100352,2024-07-24,53,Female,Canada,Standard,19.99
100353,2023-10-18,42,Male,UK,Basic,9.99
100354,2022-09-26,62,Male,India,Standard,19.99
100355,2023-01-05,66,Female,Australia,Standard,19.99
100356,2023-09-28,60,Male,USA,Standard,19.99
100357,2025-02-03,51,Female,Canada,Basic,9.99
100358,2023-10-19,42,Male,USA,Basic,9.99
100359,2022-04-30,33,Female,UK,Standard,19.99
100360,2024-04-10,51,Male,UK,Basic,9.99
100361,2024-12-17,46,Male,Australia,Premium,39.99
100362,2024-01-11,36,Female,UK,Premium,39.99
100363,2022-04-27,40,Female,Australia,Basic,9.99
100364,2024-03-01,36,Female,Canada,Basic,9.99
100365,2025-02-24,42,Female,Australia,Standard,19.99
100366,2024-10-09,33,Female,UK,Premium,39.99
100367,2024-12-17,68,Male,India,Standard,19.99
100368,2023-09-26,26,Female,Australia,Basic,9.99
100369,2023-05-28,18,Male,USA,Standard,19.99
100370,2024-03-12,59,Female,India,Basic,9.99
100371,2025-01-24,36,Other,Australia,Basic,9.99
100372,2025-02-15,50,Male,USA,Basic,9.99
100373,2023-07-14,51,Male,India,Standard,19.99
100374,2023-05-03,33,Male,Australia,Basic,9.99
100375,2024-06-15,61,Male,Canada,Standard,19.99
100376,2023-12-05,57,Female,USA,Premium,39.99
100377,2023-08-04,35,Male,Canada,Standard,19.99
100378,2024-02-29,51,Male,UK,Standard,19.99
100379,2024-05-10,42,Female,Australia,Basic,9.99
100380,2022-09-04,62,Female,Australia,Standard,19.99
100381,2025-01-04,23,Female,USA,Basic,9.99
100382,2022-06-03,38,Female,Australia,Standard,19.99
100383,2024-09-23,23,Female,UK,Basic,9.99
100384,2025-01-14,49,Other,Australia,Basic,9.99
100385,2023-11-28,58,Female,India,Basic,9.99
100386,2024-12-28,65,Female,Canada,Basic,9.99
100387,2024-12-06,60,Male,UK,Standard,19.99
100388,2024-10-05,56,Male,UK,Standard,19.99
100389,2022-04-04,48,Female,Canada,Basic,9.99
100390,2024-08-15,59,Female,Canada,Standard,19.99
100391,2024-10-08,27,Female,UK,Standard,19.99
100392,2023-03-29,47,Other,Canada,Standard,19.99
100393,2024-06-30,69,Female,USA,Premium,39.99
100394,2022-08-06,35,Female,Canada,Basic,9.99
100395,2023-04-19,41,Female,India,Basic,9.99
100396,2023-03-08,69,Female,India,Standard,19.99
100397,2022-12-07,26,Male,USA,Premium,39.99
100398,2023-07-05,48,Male,Canada,Standard,19.99
100399,2022-12-23,32,Female,India,Premium,39.99
100400,2022-01-23,21,Male,Australia,Standard,19.99
100401,2023-06-06,57,Female,Canada,Standard,19.99
100402,2025-01-28,26,Male,USA,Standard,19.99
100403,2024-03-12,62,Female,Canada,Standard,19.99
100404,2024-02-01,26,Female,UK,Standard,19.99
100405,2023-03-18,43,Female,UK,Standard,19.99
100406,2024-02-08,21,Male,India,Standard,19.99
100407,2024-10-12,34,Female,UK,Standard,19.99
100408,2023-05-31,33,Female,USA,Basic,9.99
100409,2024-11-05,32,Male,India,Standard,19.99
100410,2024-03-02,52,Female,USA,Standard,19.99
100411,2022-12-02,69,Male,USA,Premium,39.99
100412,2022-09-15,22,Male,UK,Standard,19.99
100413,2023-05-12,22,Male,UK,Basic,9.99
100414,2024-06-14,37,Female,USA,Basic,9.99
100415,2022-06-09,32,Female,UK,Standard,19.99
100416,2024-05-01,35,Female,UK,Basic,9.99
100417,2023-11-21,64,Male,UK,Premium,39.99
100418,2023-01-15,19,Male,Canada,Basic,9.99
100419,2024-08-14,46,Female,USA,Premium,39.99
100420,2023-11-22,30,Female,Australia,Standard,19.99
100421,2025-04-06,21,Female,USA,Premium,39.99
100422,2024-12-02,59,Male,India,Basic,9.99
100423,2022-10-12,62,Male,UK,Standard,19.99
100424,2023-02-01,27,Female,UK,Basic,9.99
100425,2022-01-12,48,Female,Australia,Basic,9.99
100426,2023-05-14,58,Male,India,Basic,9.99
100427,2024-01-24,25,Male,Canada,Standard,19.99
100428,2022-02-04,20,Female,USA,Basic,9.99
100429,2023-12-28,65,Male,Canada,Premium,39.99
100430,2024-04-28,63,Female,India,Basic,9.99
100431,2022-03-31,26,Male,Australia,Basic,9.99
100432,2024-02-15,47,Male,India,Basic,9.99
100433,2023-08-28,28,Other,Australia,Standard,19.99
100434,2024-08-27,52,Male,Canada,Basic,9.99
100435,2024-10-18,54,Female,Canada,Premium,39.99
100436,2023-02-22,59,Female,India,Standard,19.99
100437,2022-04-25,30,Male,India,Premium,39.99
100438,2023-09-09,53,Male,UK,Basic,9.99
100439,2024-04-05,30,Female,Australia,Standard,19.99
100440,2025-01-03,29,Female,UK,Standard,19.99
100441,2023-02-17,54,Male,USA,Premium,39.99
100442,2023-12-30,27,Male,USA,Standard,19.99
100443,2024-10-17,26,Female,India,Premium,39.99
100444,2024-01-31,69,Female,Canada,Basic,9.99
100445,2023-11-07,24,Female,USA,Standard,19.99
100446,2023-04-02,19,Male,USA,Basic,9.99
100447,2024-07-08,40,Female,UK,Basic,9.99
100448,2022-07-11,56,Female,UK,Basic,9.99
100449,2024-01-09,57,Female,USA,Premium,39.99
100450,2025-01-27,56,Female,India,Premium,39.99
100451,2024-09-04,38,Female,UK,Basic,9.99
100452,2024-10-05,40,Female,USA,Premium,39.99
100453,2022-04-06,46,Female,Canada,Standard,19.99
100454,2023-10-25,31,Male,UK,Standard,19.99
100455,2022-02-06,43,Male,USA,Basic,9.99
100456,2022-10-06,68,Male,Australia,Standard,19.99
100457,2022-08-05,22,Male,UK,Basic,9.99
100458,2024-05-16,48,Male,Australia,Basic,9.99
100459,2024-05-22,42,Female,UK,Standard,19.99
100460,2022-03-03,48,Male,UK,Premium,39.99
100461,2023-08-19,67,Female,Australia,Standard,19.99
100462,2023-12-30,37,Female,India,Premium,39.99
100463,2023-02-01,61,Male,USA,Premium,39.99
100464,2023-11-30,34,Female,India,Basic,9.99
100465,2024-11-08,62,Female,India,Basic,9.99
100466,2022-06-26,19,Male,USA,Standard,19.99
100467,2023-01-31,42,Male,Canada,Premium,39.99
100468,2023-03-21,30,Male,India,Premium,39.99
100469,2022-03-17,56,Female,India,Standard,19.99
100470,2022-09-22,45,Male,India,Standard,19.99
100471,2023-03-31,59,Female,Canada,Standard,19.99
100472,2023-12-19,23,Female,UK,Basic,9.99
100473,2024-01-05,20,Male,Australia,Basic,9.99
100474,2024-04-30,52,Female,Australia,Standard,19.99
100475,2022-05-24,35,Male,Canada,Premium,39.99
100476,2024-06-03,28,Female,India,Premium,39.99
100477,2024-12-28,37,Male,Australia,Basic,9.99
100478,2025-01-27,22,Female,Canada,Standard,19.99
100479,2023-01-31,36,Male,USA,Premium,39.99
100480,2024-11-14,39,Female,Australia,Standard,19.99
100481,2024-08-05,36,Female,USA,Basic,9.99
100482,2024-06-09,64,Male,India,Standard,19.99
100483,2025-03-20,33,Female,Australia,Standard,19.99
100484,2025-03-13,41,Male,Canada,Standard,19.99
100485,2023-07-23,58,Female,UK,Standard,19.99
100486,2024-11-28,21,Female,Australia,Premium,39.99
100487,2022-04-19,32,Male,Australia,Basic,9.99
100488,2024-12-01,42,Male,Australia,Basic,9.99
100489,2024-07-23,61,Male,Australia,Standard,19.99
100490,2023-02-02,52,Female,Canada,Basic,9.99
100491,2023-09-26,31,Male,Canada,Premium,39.99
100492,2025-03-02,66,Male,UK,Basic,9.99
100493,2025-04-01,36,Male,Canada,Standard,19.99
100494,2024-01-03,55,Male,Canada,Premium,39.99
100495,2022-08-23,53,Other,India,Basic,9.99
100496,2023-10-20,24,Male,India,Premium,39.99
100497,2024-01-21,47,Female,USA,Standard,19.99
100498,2023-08-11,36,Female,UK,Basic,9.99
100499,2024-10-29,66,Female,India,Premium,39.99
100500,2025-01-02,42,Male,UK,Basic,9.99
100501,2024-08-11,33,Female,UK,Standard,19.99
100502,2023-05-07,64,Female,Australia,Basic,9.99
100503,2024-07-01,57,Male,UK,Basic,9.99
100504,2025-04-12,68,Male,Australia,Premium,39.99
100505,2025-04-06,25,Male,USA,Standard,19.99
100506,2022-06-19,35,Male,USA,Basic,9.99
100507,2024-08-03,45,Male,USA,Standard,19.99
100508,2024-03-05,33,Female,Australia,Standard,19.99
100509,2023-09-26,69,Male,Australia,Premium,39.99
100510,2022-01-29,36,Female,USA,Standard,19.99
100511,2025-04-03,59,Female,Australia,Premium,39.99
100512,2022-12-05,34,Female,Canada,Standard,19.99
100513,2023-05-15,62,Female,Canada,Standard,19.99
100514,2023-05-26,30,Male,Australia,Premium,39.99
100515,2022-08-05,24,Female,Australia,Basic,9.99
100516,2025-03-01,44,Female,India,Basic,9.99
100517,2024-12-29,27,Female,India,Basic,9.99
100518,2023-03-21,51,Female,UK,Basic,9.99
100519,2024-05-25,53,Male,UK,Basic,9.99
100520,2022-06-16,42,Male,UK,Standard,19.99
100521,2022-04-01,23,Female,USA,Standard,19.99
100522,2023-12-15,41,Female,Canada,Basic,9.99
100523,2022-02-08,35,Female,USA,Basic,9.99
100524,2025-02-23,40,Other,Australia,Basic,9.99
100525,2022-06-22,23,Male,India,Standard,19.99
100526,2023-10-15,46,Male,Australia,Standard,19.99
100527,2024-01-24,42,Male,Australia,Basic,9.99
100528,2024-12-17,34,Male,India,Premium,39.99
100529,2023-04-21,63,Female,Australia,Standard,19.99
100530,2023-04-01,41,Female,UK,Premium,39.99
100531,2024-04-08,28,Male,India,Basic,9.99
