ticket_id,customer_id,ticket_date,ticket_category,resolution_time_hrs,satisfaction_score
225,100219,2022-02-03,Technical,36.8,3.3
226,100219,2024-12-27,Feature,33.4,3.7
227,100220,2024-01-23,Account,43.0,4.4
228,100221,2024-07-17,Technical,50.0,4.7
229,100221,2022-08-20,Account,14.5,4.5
230,100222,2023-07-10,Billing,22.1,4.6
231,100223,2022-06-06,Billing,20.4,4.1
232,100224,2025-04-25,Technical,67.9,4.3
233,100225,2023-01-01,Technical,55.5,4.7
234,100226,2023-08-17,Technical,35.9,3.2
235,100227,2024-01-24,Technical,21.5,2.3
236,100227,2022-03-30,Account,19.3,3.5
237,100228,2024-09-16,Technical,31.2,2.3
238,100228,2024-08-27,Technical,68.5,2.6
239,100229,2023-02-25,Billing,37.6,3.3
240,100230,2025-04-16,Technical,14.0,3.8
241,100230,2022-12-26,Billing,29.6,2.1
242,100234,2022-10-30,Feature,4.3,5.0
243,100234,2023-07-06,Billing,42.9,3.5
244,100235,2025-02-19,Account,14.9,3.7
245,100237,2022-03-21,Account,44.0,4.1
246,100238,2025-06-09,Feature,12.4,4.3
247,100238,2022-03-29,Billing,66.4,4.7
248,100242,2025-03-16,Billing,10.8,2.2
249,100242,2022-07-13,Account,3.2,4.4
250,100243,2024-04-23,Billing,68.8,4.6
251,100244,2024-08-31,Feature,23.5,4.1
252,100244,2024-11-30,Account,18.6,4.0
253,100245,2022-01-02,Technical,43.0,2.9
254,100246,2022-11-28,Feature,52.5,4.5
255,100247,2023-09-30,Technical,63.6,2.4
256,100248,2022-11-12,Account,51.2,3.2
257,100248,2022-04-10,Feature,61.8,3.6
258,100248,2024-02-17,Account,5.0,2.1
259,100249,2023-12-29,Feature,19.5,2.8
260,100249,2024-08-05,Technical,15.4,4.4
261,100251,2023-06-27,Billing,39.9,3.0
262,100252,2024-12-01,Technical,4.8,3.4
263,100252,2022-02-15,Billing,62.3,2.2
264,100252,2022-10-14,Account,46.4,5.0
265,100252,2025-07-13,Account,16.1,2.4
266,100252,2022-06-17,Feature,49.4,2.2
267,100252,2022-08-19,Billing,8.5,2.7
268,100253,2024-06-22,Account,71.5,4.5
269,100254,2022-07-15,Account,42.3,2.5
270,100254,2023-07-02,Account,10.5,4.1
271,100255,2025-09-13,Account,13.7,4.6
272,100256,2025-07-21,Feature,43.8,4.6
273,100257,2025-07-18,Billing,50.3,2.7
274,100259,2022-07-29,Account,56.5,2.5
275,100260,2023-03-06,Feature,42.8,2.4
276,100261,2023-02-20,Feature,3.5,4.2
277,100262,2023-01-11,Feature,41.9,4.2
278,100263,2025-09-10,Account,39.0,3.5
279,100263,2023-12-06,Feature,48.8,4.2
280,100264,2025-08-20,Feature,7.2,3.0
281,100266,2024-04-06,Account,57.3,2.8
282,100268,2024-02-17,Technical,44.7,2.8
283,100269,2024-06-24,Account,39.3,4.4
284,100269,2024-04-19,Billing,51.7,4.2
285,100270,2023-02-05,Technical,55.5,2.5
286,100272,2025-07-05,Feature,51.9,3.7
287,100272,2024-09-24,Billing,49.3,4.3
288,100273,2024-10-31,Billing,45.9,2.4
289,100275,2024-12-23,Billing,55.4,2.8
290,100275,2024-04-20,Billing,28.1,3.4
291,100276,2024-05-28,Account,38.4,2.8
292,100278,2023-02-06,Account,26.3,2.1
293,100278,2022-02-23,Billing,55.6,4.2
294,100279,2025-08-28,Technical,38.3,4.5
295,100280,2024-02-21,Billing,24.7,3.8
296,100281,2023-01-16,Technical,8.4,4.5
297,100287,2025-03-25,Account,40.3,3.0
298,100288,2022-06-25,Feature,58.2,2.1
299,100288,2024-12-19,Account,24.5,2.8
300,100289,2023-08-18,Account,21.1,4.5
301,100291,2022-04-08,Account,61.3,4.4
302,100293,2023-01-22,Technical,60.3,3.4
303,100294,2023-07-22,Feature,17.5,4.2
304,100295,2022-06-06,Account,18.4,2.4
305,100295,2025-10-15,Account,18.4,4.1
306,100296,2022-08-02,Billing,21.1,2.1
307,100299,2024-03-26,Billing,27.1,2.1
308,100299,2023-05-01,Feature,55.9,3.1
309,100299,2023-06-11,Feature,55.5,2.5
310,100300,2023-10-09,Account,15.2,4.7
311,100300,2022-09-23,Account,8.8,4.7
312,100300,2025-03-09,Billing,5.5,2.7
313,100302,2023-10-19,Account,70.1,2.9
314,100302,2025-09-14,Billing,16.0,2.2
315,100303,2025-05-10,Account,3.2,4.2
316,100306,2025-09-10,Feature,68.6,4.7
317,100306,2025-05-07,Feature,23.5,4.1
318,100307,2023-02-18,Feature,58.1,3.3
319,100307,2023-02-08,Billing,66.3,4.8
320,100310,2022-03-01,Account,49.7,2.7
321,100310,2022-09-18,Billing,44.3,2.7
322,100310,2022-06-07,Technical,40.8,3.7
323,100311,2024-06-08,Feature,27.7,4.3
324,100312,2025-02-27,Account,13.6,4.1
325,100312,2024-07-22,Technical,33.1,3.6
326,100313,2024-12-12,Account,60.7,3.9
327,100314,2022-11-14,Account,66.6,3.5
328,100315,2024-08-23,Billing,9.7,2.8
329,100317,2023-07-21,Technical,58.6,3.9
330,100317,2024-05-09,Billing,48.6,4.9
331,100319,2023-04-28,Feature,32.4,4.9
332,100319,2024-10-06,Feature,24.1,4.8
333,100319,2025-03-21,Billing,12.0,2.3
334,100320,2023-06-21,Account,13.3,2.3
335,100320,2024-03-26,Technical,45.8,2.4
336,100320,2023-08-31,Billing,4.2,2.4
337,100321,2024-07-10,Billing,57.1,5.0
338,100322,2024-06-11,Billing,32.0,2.3
339,100323,2022-11-12,Account,53.2,5.0
340,100323,2023-05-12,Account,25.5,4.7
341,100325,2024-07-31,Account,1.9,4.5
342,100326,2024-08-29,Technical,33.0,4.5
343,100327,2023-01-19,Billing,9.9,3.2
344,100327,2024-01-30,Account,12.6,3.7
345,100328,2023-05-16,Feature,50.8,2.1
346,100328,2022-06-28,Technical,16.8,2.3
347,100328,2022-01-19,Billing,31.0,2.9
348,100328,2025-03-09,Technical,65.2,2.4
349,100329,2024-05-06,Account,40.6,4.5
350,100331,2023-02-04,Billing,39.1,2.8
351,100331,2023-12-06,Feature,44.1,2.6
352,100332,2022-09-18,Billing,30.0,3.6
353,100333,2024-04-26,Technical,20.9,3.4
354,100334,2022-10-26,Billing,19.6,2.7
355,100334,2025-02-17,Account,19.7,4.6
356,100335,2025-10-23,Technical,27.6,3.4
357,100337,2024-06-08,Account,14.6,3.0
358,100338,2024-09-12,Technical,41.2,2.8
359,100341,2024-03-18,Feature,48.9,4.3
360,100342,2023-10-28,Account,46.1,2.1
361,100342,2023-12-27,Account,15.7,4.7
362,100344,2025-04-28,Technical,4.2,3.2
363,100345,2023-02-25,Account,69.4,3.2
364,100348,2023-12-20,Billing,66.7,2.9
365,100349,2022-08-29,Feature,54.0,2.9
366,100349,2024-01-14,Feature,43.5,3.6
367,100350,2025-09-07,Account,32.3,2.8
368,100351,2023-07-05,Technical,49.8,3.6
369,100351,2023-10-11,Billing,64.6,4.0
370,100353,2024-09-03,Account,45.3,2.0
371,100353,2025-05-27,Account,56.9,4.5
372,100354,2022-12-31,Billing,66.9,2.7
373,100354,2023-01-28,Billing,51.8,3.5
374,100356,2023-05-26,Billing,40.6,4.5
375,100356,2023-12-09,Feature,12.6,4.6
376,100358,2023-12-04,Technical,40.0,3.0
377,100358,2022-08-25,Billing,42.9,2.6
378,100358,2024-10-05,Account,20.5,3.9
379,100360,2025-08-15,Account,6.2,2.5
380,100361,2023-09-14,Feature,53.5,2.4
381,100364,2023-12-31,Technical,37.4,3.1
382,100364,2023-11-19,Feature,51.8,2.6
383,100366,2025-07-20,Feature,43.3,4.0
384,100367,2023-07-31,Feature,55.7,3.8
385,100367,2024-08-29,Technical,36.8,3.1
386,100367,2025-01-18,Technical,20.4,2.3
387,100371,2024-02-03,Billing,55.2,4.8
388,100371,2023-01-22,Technical,6.7,2.9
389,100371,2025-06-28,Technical,42.1,2.1
390,100372,2025-08-06,Feature,69.0,4.4
391,100375,2024-06-05,Feature,28.6,2.4
392,100375,2024-05-16,Feature,57.0,2.1
393,100376,2022-02-23,Technical,59.0,4.3
394,100376,2025-04-04,Account,44.5,3.8
395,100378,2025-02-07,Billing,11.8,4.4
396,100378,2024-12-15,Technical,16.1,2.9
397,100379,2023-03-02,Technical,48.9,3.5
398,100379,2023-11-10,Feature,22.0,4.3
399,100380,2025-10-28,Feature,2.8,3.2
400,100380,2024-07-19,Billing,62.4,4.5
401,100381,2024-06-16,Technical,18.4,4.1
402,100381,2023-09-29,Feature,42.2,3.0
403,100383,2024-06-25,Technical,12.0,3.0
404,100383,2025-07-11,Billing,7.0,2.5
405,100385,2023-05-14,Technical,7.3,3.1
406,100387,2023-03-27,Feature,18.0,3.4
407,100388,2024-04-26,Account,18.7,2.3
408,100389,2023-01-31,Billing,12.4,4.5
409,100391,2024-07-13,Billing,12.9,5.0
410,100391,2024-05-28,Billing,71.4,2.2
411,100392,2025-04-20,Account,51.2,3.9
412,100394,2022-06-10,Technical,16.6,4.1
413,100396,2023-07-30,Account,10.3,2.5
414,100398,2023-04-08,Technical,6.8,3.2
415,100399,2024-11-30,Technical,10.8,2.7
416,100399,2023-05-21,Feature,59.6,4.6
417,100399,2024-10-02,Technical,43.3,2.0
418,100399,2024-02-11,Billing,45.4,4.7
419,100400,2022-09-10,Technical,23.3,2.8
420,100402,2022-01-20,Feature,21.5,4.5
421,100402,2022-12-22,Technical,64.6,2.8
422,100404,2022-09-09,Feature,2.6,4.4
423,100408,2023-06-05,Billing,38.5,2.8
424,100408,2022-12-20,Feature,61.9,3.0
425,100409,2025-02-21,Account,13.9,4.9
426,100411,2022-04-27,Account,42.6,2.4
427,100412,2023-08-05,Technical,40.9,4.1
428,100415,2024-10-13,Technical,57.1,4.1
429,100418,2022-08-27,Technical,6.3,2.9
430,100419,2025-05-08,Account,54.3,4.6
431,100419,2025-04-22,Billing,33.8,4.7
432,100420,2022-01-26,Account,18.5,3.8
433,100421,2024-07-25,Feature,35.3,3.3
434,100423,2024-12-13,Account,19.7,3.8
435,100424,2025-06-05,Account,31.9,3.1
436,100425,2024-09-21,Feature,70.0,4.1
437,100425,2022-10-05,Account,68.1,4.8
438,100426,2022-11-12,Billing,50.3,4.5
439,100427,2025-08-03,Feature,7.4,3.8
440,100427,2024-08-04,Technical,71.8,3.4
441,100428,2025-10-30,Billing,63.9,2.7
442,100429,2025-10-13,Account,2.8,2.1
443,100429,2025-04-14,Feature,53.2,3.1
444,100429,2022-11-08,Billing,53.7,4.4
445,100430,2025-04-16,Account,32.4,2.4
446,100430,2023-12-13,Technical,33.4,2.5
447,100431,2023-06-25,Billing,71.9,2.8
448,100432,2023-11-21,Billing,3.3,3.2
449,100433,2023-08-21,Technical,53.0,2.7
450,100433,2022-01-26,Technical,4.3,3.6
451,100433,2024-03-17,Technical,26.2,4.4
452,100435,2024-02-22,Billing,49.6,4.7
453,100435,2025-01-23,Feature,33.1,3.4
454,100436,2023-10-12,Account,46.1,4.1
455,100437,2023-03-23,Account,4.3,2.4
456,100438,2025-08-20,Billing,2.6,2.1
457,100438,2025-02-11,Billing,66.7,3.1
458,100439,2025-06-05,Feature,6.3,4.3
459,100441,2022-08-25,Billing,70.7,2.5
460,100442,2022-03-27,Feature,59.3,3.3
461,100443,2023-11-21,Technical,6.5,2.8
462,100445,2024-01-18,Billing,10.9,4.7
463,100445,2024-10-06,Account,57.2,4.7
464,100445,2024-04-12,Billing,50.4,3.4
465,100447,2023-12-19,Billing,68.5,4.7
466,100447,2024-11-16,Account,40.8,4.0
467,100448,2023-12-12,Feature,6.8,4.6
468,100448,2024-08-28,Account,26.3,3.2
469,100449,2025-05-06,Account,68.0,3.1
470,100450,2023-11-29,Feature,41.7,4.3
471,100450,2023-08-07,Feature,30.2,3.2
472,100452,2024-11-07,Billing,22.8,4.9
473,100452,2025-05-15,Technical,64.8,2.2
474,100452,2023-07-22,Technical,24.5,4.4
475,100453,2023-08-14,Account,32.5,4.0
476,100453,2022-04-07,Technical,71.6,4.9
477,100454,2024-02-18,Technical,22.2,3.4
478,100457,2022-07-16,Feature,42.2,5.0
479,100457,2023-12-08,Billing,36.4,2.8
480,100457,2025-01-29,Billing,3.6,2.8
481,100459,2022-01-05,Account,70.6,4.5
482,100460,2024-10-05,Technical,6.9,2.1
483,100461,2022-04-08,Billing,11.6,3.3
484,100463,2022-06-02,Account,45.6,2.7
485,100464,2022-09-30,Billing,5.2,4.7
486,100465,2024-06-21,Billing,63.3,4.7
487,100466,2022-06-28,Billing,65.0,3.2
488,100469,2024-08-14,Feature,26.9,3.7
489,100470,2022-09-03,Technical,53.9,2.3
490,100471,2022-02-02,Feature,42.1,3.8
491,100472,2022-11-06,Account,25.0,4.0
492,100473,2025-06-18,Feature,29.8,4.5
493,100474,2024-07-21,Billing,2.2,3.5
494,100474,2023-12-08,Technical,66.9,3.9
495,100474,2023-04-19,Feature,59.5,4.2
496,100475,2025-07-23,Billing,46.8,4.9
497,100475,2025-07-26,Feature,67.2,2.4
498,100475,2022-09-15,Billing,9.5,3.3
499,100476,2025-02-02,Feature,70.1,2.3
500,100476,2024-10-20,Feature,39.5,4.1
501,100476,2025-10-20,Account,65.3,2.4
502,100477,2022-12-15,Billing,40.3,2.4
503,100477,2022-08-27,Account,70.3,2.4
504,100479,2023-05-19,Billing,17.8,3.4
505,100480,2022-02-10,Feature,65.3,4.3
506,100482,2022-03-24,Account,9.7,3.8
507,100483,2023-05-16,Billing,44.4,4.4
508,100483,2025-03-27,Feature,39.4,3.3
509,100485,2022-06-23,Billing,6.7,2.4
510,100486,2025-09-25,Billing,41.9,3.2
511,100487,2025-10-29,Billing,54.7,4.0
512,100488,2022-12-12,Technical,15.1,2.1
513,100488,2025-09-27,Feature,11.2,3.3
514,100488,2024-08-16,Feature,29.9,2.8
515,100488,2024-08-18,Account,70.5,4.9
516,100488,2023-10-20,Technical,36.9,2.4
517,100489,2024-05-24,Feature,30.9,4.1
518,100489,2022-07-12,Feature,45.4,4.1
519,100489,2024-06-01,Technical,28.6,2.6
520,100489,2023-06-28,Account,47.9,2.9
521,100490,2023-04-13,Account,57.8,4.3
522,100493,2024-01-23,Technical,55.7,4.8
523,100494,2024-02-17,Feature,39.4,2.0
524,100495,2022-05-20,Billing,61.4,2.6
525,100495,2022-04-19,Billing,65.7,3.8
526,100495,2024-07-24,Technical,40.0,4.8
527,100498,2022-02-23,Account,55.0,3.9
528,100498,2024-01-21,Billing,21.1,3.1
529,100506,2022-07-02,Technical,20.2,3.4
530,100507,2022-11-24,Billing,16.2,4.0
531,100507,2023-09-28,Account,25.2,2.6
532,100509,2024-01-15,Account,64.2,4.8
533,100511,2024-10-24,Billing,64.2,3.0
534,100511,2025-04-22,Account,59.5,3.9
535,100513,2024-08-13,Billing,68.3,2.6
536,100515,2025-04-22,Technical,50.6,2.2
537,100518,2022-04-19,Account,25.1,4.7
538,100518,2023-03-02,Account,44.7,4.2
539,100518,2023-02-18,Technical,71.5,5.0
540,100519,2024-02-09,Account,29.1,3.2
541,100520,2024-12-13,Billing,18.7,3.9
542,100520,2024-11-22,Billing,20.1,2.3
543,100521,2023-09-01,Account,13.6,4.3
544,100521,2025-01-12,Feature,60.3,5.0
545,100521,2022-09-01,Account,41.9,3.4
546,100526,2023-01-25,Billing,47.8,4.1
547,100526,2024-09-03,Technical,50.3,4.7
548,100528,2024-06-02,Account,19.0,3.5
549,100529,2023-05-23,Account,28.7,3.7
550,100529,2022-01-06,Technical,42.3,4.5
551,100531,2022-11-12,Account,19.6,2.2
552,100532,2024-01-08,Feature,5.2,2.4
553,100532,2022-02-19,Feature,45.7,2.4
554,100533,2025-05-23,Feature,17.2,2.0
555,100533,2022-05-03,Billing,53.3,4.0
556,100536,2023-04-22,Feature,35.7,4.7
557,100540,2023-11-19,Technical,42.9,4.6
558,100543,2024-07-18,Account,4.3,2.2
559,100544,2024-11-13,Account,39.8,2.4
560,100545,2025-05-25,Billing,15.4,2.7
561,100547,2024-03-14,Account,67.3,2.9
562,100552,2025-09-25,Billing,38.2,4.8
563,100553,2024-05-19,Technical,3.8,2.0
564,100553,2024-04-04,Feature,68.7,3.6
565,100553,2022-06-05,Feature,52.0,2.2
566,100553,2023-11-17,Feature,6.6,3.4
567,100554,2022-09-13,Feature,50.0,5.0
568,100555,2023-11-10,Account,15.7,3.3
569,100556,2023-07-18,Technical,16.3,2.9
570,100557,2023-11-06,Technical,12.0,2.8
571,100557,2022-02-24,Technical,55.6,2.7
572,100557,2024-03-14,Feature,19.3,3.6
573,100558,2023-04-27,Feature,52.3,4.2
574,100558,2024-07-14,Technical,44.5,4.0
575,100558,2025-03-04,Billing,41.4,2.5
576,100559,2025-10-19,Billing,13.2,4.8
577,100560,2024-10-09,Feature,10.1,4.2
578,100560,2025-08-02,Billing,35.7,2.6
579,100561,2025-04-06,Feature,17.2,4.7
580,100561,2022-11-03,Technical,18.9,4.2
581,100561,2022-06-21,Feature,34.3,3.2
582,100562,2022-03-11,Account,32.7,3.8
583,100563,2025-05-14,Account,18.8,2.1
584,100565,2022-04-25,Technical,64.4,2.6
585,100567,2023-03-12,Technical,55.9,3.3
586,100567,2024-11-11,Feature,2.4,2.3
